1 abacus   n. 算盘
2010 log off  注销

2011 logarithm  对数

2012 logged  存入数据

2013 logger  记录器,注册器

2014 logging  记录,请求联机

2015 logic  n. 逻辑(学),逻辑性

2016 logical  a. 符合逻辑的,逻辑上的

2017 Login  登录，注册

2018 logo  n. 图形,商标; [计算机] 语标

2019 logoff  下网

2020 logon  注册，登录上网

2021 logout  退出，注销

2022 long  a. 长的,很久的,冗长的; v. 渴望,热望,极想; ad. 长期地

2023 look  n. 看,神色,样子,脸色; v. 看,看,注视

2024 look in  顺便来访=drop in

2025 look up  (在词典中、资料中) 查寻

2026 lossless compression  无损压缩

2027 lossy compression  有损压缩

2028 lost  a. 失去的,遗失的,迷惑的; v. 遗失,损失,失败; vbl. 遗失,损失,失败

2029 loudspeaker  n. 扬声器,喇叭

2030 low  n. 低点,低价,低; a. 低的,消沉的,低等的; ad. 低下地,谦卑地,低

2031 low end  低端，低档

2032 low memory  低端内存

2033 lower case  小写字母盘

2034 lowercase  小写体,小写字母

2035 low-level language  低级语言

2036 lumen  n. 流明,内腔

2037 luminance  亮度

2038 lump  n. 块状,瘤,很多; v. 使...成块状,混在一起,忍耐

2039 lumped network  集总网络

2040 lux  勒克司(照明单位)

2041 lvalue  左值

2042 m  兆

2043 Mach  n. 马赫

2044 machine  n. 机器,机械装置,机械般工作的人; v. 以机器制造; [计算机] 机器

2045 machine language  机器语言

2046 macro  宏,巨

2047 magazine  n. 杂志

2048 magnetic card  磁卡

2049 magnetic disk  磁盘

2050 magnetic drum  磁鼓

2051 magnetic record  磁记录

2052 magnetic track  磁道

2053 magnification  n. 扩大,夸张,赞美; [计算机] 放大率

2054 magnitude  n. 大小,重要,光度,（地震）级数

2055 mail  n. 邮件; v. 邮寄

2056 mail box  信箱，信箱区，邮箱

2057 mailbox  n. 邮筒,邮箱

2058 mailer  邮件程序

2059 mailing address  邮寄地址

2060 mailing label  邮件标签

2061 main  a. 主要的; n. 主要部分,干线

2062 mainframe  n. 主机

2063 mainline  主线

2064 maintain  v. 维持,维修,保养,坚持

2065 maintainability  可维护性

2066 maintainable  可维护的

2067 maintenance  n. 维护,保持,维修,生活费用

2068 major  n. 主修,成年人,陆军少校; a. 主要的,较多的,大部份的; v. 主修

2069 majority  n. 多数,大多数

2070 make  v. 做,制造,使; n. 牌子,型号

2071 male connector  公插头

2072 malfunction  n. 故障; v. 发生故障,不起作用


2076 manifest  n. 载货单,运货单,旅客名单; a. 显然的,明白的; v. 显示,出现,证明

2077 manifold  n. 复印本,多种; a. 多种的,有许多部份的,多方面的; v. 复写,繁殖,增多

2078 manifolder  复印机

2079 manifolding  复写，复印

2080 manipulate  v. 操纵,利用,假造; [计算机] 操作

2081 manipulator  操纵器,操作者

2082 manner  n. 样子,礼貌,风格,方式

2083 mantissa  尾数

2084 manual  a. 手工的,体力的; n. 手册,指南

2085 manually  用手，手动地

2086 manufacture  n. 产品,制造,制造业; v. 制造; vt. 制造,加工

2087 manufacturer  n. 制造商

2088 manufacturing  n. 制造业; a. 制造业的

2089 manuscript  a. 手抄的; n. 手稿,原稿

2090 map  n. 地图; v. 映射,绘制...之地图,计划; [计算机] 存储区分配图

2091 map program  映象程序

2092 mapping  映射,映像

2093 margin  n. (时间,金钱)富余,利润,页边空白,边缘

2094 mark  n. 标志,分数,马克; v. 做标记于,留意,打分数

2095 mark symbol  标记符号

2096 marked  a. 有记号的,显著的,醒目的; v. 作记号,打分数,表示; vbl. 作记号,打分数,表示

2097 marked record  标记记录

2098 marker  n. 作记号的人,记分员,书签; [计算机] 记号

2099 marker file  标记文件

2100 marketing  n. 行销,买卖; vbl. 销售,买卖

2101 marquee  n. 大天幕,华盖

2102 marshal  n. 陆空军高级将官,典礼官,职行官; v. 整顿,配置,汇集

2103 masculine  n. 阳性,男性; a. 男性的,阳性的,有丈夫气的

2104 mask  n. 口罩,假面具,掩饰; v. 戴面具,掩饰,化装; [计算机] 掩码

2105 mask bit  屏蔽位

2106 mask bus  屏蔽总线

2107 mass  n. 块,大多数,质量; a. 群众的,大规模的; v. 使...集合

2108 master  n. 主人,硕士,母机; a. 主人的,主要的; v. 征服,控制,精通

2109 mastering  控制

2110 mat  n. 垫,丛,衬边; a. 粗糙的; v. 纠缠在一起,铺席于...上,使...无光泽

2111 match  n. 比赛,火柴,对手; v. 使...相配,与...竞争,相配

2112 material  n. 材料,原料,物质;; n. 素材,题材,资料; a. 物质的,实体的

2113 materialization   n. 具体化

2114 materialize  v. 赋与实质,使体现,物质化; v. 成有形,体现,实现

2115 math  n. 数学

2116 mathematical  a. 数学的

2117 matrix  n. 母体,子宫; 细胞; 脉石,字母; n.矩阵

2118 matte  暗区,不光滑的

2119 maximize  v. 取...最大值,最佳化; [计算机] 最大化

2120 maximize button  最大化按钮

2121 maximum  n. 极点,最大量,极大; a. 最高的,最大极限的

2122 MB  (mega byte)兆位

2123 MDK  多媒体开发工具包

2124 mean  n.平均值,平均数; a. 低劣的,卑贱的,平均的; v. 意谓,想要,意欲

2125 meanings  含义

2126 measure  n. 措施,办法,量度,尺寸; v. 测量,量

2127 measurement  n. 测量,衡量,尺寸,大小

2128 mechanical language  机器语言

2129 mechanical mouse  机械式鼠标

2130 mechanism  n. 机械,机构,结构; 机制，原理

2131 media  n. 媒体,新闻媒介,传播媒介

2132 medium  n. 媒体,方法,媒介; a. 适中的,中等的

2133 mega  兆,百万

2134 megabit  兆位

2135 megacomputer  百万次计算机

2136 melody  n. 旋律,曲子,美的音乐,曲调

2137 member  n. 成员,会员

2138 memo  n. 备忘录

2139 memorandum  n. 备忘录

2140 memory  n. 记忆

2141 mention  n. 提及,说起; v. 提到,谈到; vt. 说起,提到

2142 menu  n. 菜单

2143 menu bar  菜单栏

2144 menu option  菜单选择

2145 merge  v. 合并,消失,吞没; [计算机] 合并

2146 mesh  n. 网孔,网丝,陷阱; v. 以网捕捉,啮合,编织; [计算机] 网络

2147 message  n. 消息,信息

2148 meta-  [前缀]超越，超出

2149 metafile  图元文件

2150 meter  n. 公尺,韵律,计量器; v. 以计量器计量

2151 metric  a. 公制的,米制的; b. 度量标准

2152 micro-  [词头]微，百万分之一

2153 microcircuit  微电路

2154 microcode  微代码,微指令

2155 microcomputer  n. 微电脑; [计算机] 微机计算机

2156 microfiche  微缩胶片

2157 microfilm  n. 缩影胶片

2158 microinstruction  微指令

2159 micro-minicomputer  微小型计算机

2160 microphone  n. 麦克风,扩音器

2161 microprocessor  n.微处理器; [计算机] 微处理器

2162 microprogram  微程序

2163 microprogramming  微程序设计

2164 microsecond  微秒

2165 microsoft  微软(财富500强公司之一，总部所在地美国,主要经营软件数据服务)

2166 microwave  n. 微波

2167 middle  a. 中等的,中间的; n. 中间

2168 midi  音乐设备数字接口

2169 migrate   v. 移动,移往,随季节而移居; [计算机] 迁移

2170 migration  n. 移民,移往,移动

2171 mile  n. 英里

2172 milli-  [词头]毫，千分之一

2173 milliampere  毫安

2174 millimeter  n. 毫米

2175 millisecond  毫秒

2176 minicom  小型计算机

2177 minidisk  小磁盘

2178 minimal  a. 最低限度的,最小的

2179 minimalization  极小化，取最小值

2180 minimize  v. 将...减到最少; [计算机] 最小化

2181 minimize button  最小化按钮

2182 minimum  a. 最低的,最小的; n. 最小量,最低限度

2183 minor  n. 未成年人,副修科目; a. 次要的,较小的,二流的,未成年的; v. 辅修; [音乐] 小调

2184 minuend  被减数

2185 minus  a. 负的,减去的; n. 减号,负号; prep. 减去

2186 minus sign  减号

2187 minutes  会议记录

2188 mirror  n. 镜子; v. 反映,反射

2189 mirroring  镜象的

2190 miscellaneous   a. 各种的,多方面的; [计算机] 杂的; n. [合同法律用语]其他约定

2191 mismatch  vt.使错配，配合不当

2192 misoperation  误操作

2193 miss  n. 小姐; vt. 想念; vt. 漏掉,错过

2194 missing  a. 缺掉的,失踪的

2195 mission  n. 任务,代表团,使命; [计算机] 使命

2196 mistake  n. 错误,误会; v. 犯错,误认

2197 mix  n. 混合物,混乱; v. 混合,弄混,与; [计算机] 混合

2198 mixer  n. 混合器(混铁炉,混频器,混和者)

2199 mixture  n. 混合,混合物

2200 mnemonic  助记的,记忆的

2201 mode  n. 方式,样式,时尚，时兴

2202 model  n. 模型,模范,模特儿; a. 模范的,作模型用的; v. 做模型,塑造,模仿

2203 modelling  n. 模化(成型,模拟,仿形)

2204 modem  调制解调器

2205 modem commands  调制解调器命令

2206 modification  n. 修正,修饰,修改

2207 modified  修改的，变更的

2208 modifier  n. 修正的人,修饰字或片语

2209 modify  v. 修改,更正,修饰
2210 modular  模块化的

2211 modularization  模块化，积木化

2212 modularized program  模块化程序

2213 modulate  v. 调整,转调

2214 modulation  n. 调音,调节,抑扬

2215 modulator  调制器

2217 module  [计算机] 模块; n. 组件

2218 module check  模块检查，模块检验

2219 moire effect  莫尔效应

2220 moment  n. 片刻,瞬间；力矩

2221 monitor  n. 监督器,级长,监听员; v. 监视,监听,监督; [计算机] 显示器,监视

2222 mono-  [词头]单，单一的

2223 monochrome  n. 单色画,单色画法; a. 单色的,黑白的; [计算机] 单色的

2224 monochrome display  单色显示

2225 monochrome monitor  单色监视器

2226 monophonic  单声道的

2227 monostable  单稳态的

2228 montage   n. 混成画,拼集的照片,蒙太奇

2229 month  n. 月

2230 more  n. 更多; a. 多的,程度较大的,更大的; ad. 多,更多,进一步; n.[计算机] DOS命令 : 使DOS每次显示一屏信息, 以取代连续卷动

2231 morphing  变形

2232 mosaic  a. 摩西的; n. 马赛克,镶嵌细工,镶木细工

2233 motherboard  母板

2234 motif  n. 主题,意念,动机

2235 motion blur  运动模糊

2236 motion control  运动控制

2237 motor  a. 机动的,汽车的; n. 发动机,马达

2238 mount  n. 山峰,乘用马,框,衬纸; v. 增长,装上,爬上,乘马

2239 mouse  n. 老鼠,鼠标

2240 move  n. 移动,迁居,步骤,动作; v. 移动,搬家,使...感动,(有时也意译为"跳槽"); [计算机] 移动

2241 movement  n. 活动,运动

2242 movie file  电影文件

2243 movie ID  电影标识符

2244 MPC  (Multimedia PC)多媒体PC

2245 ms  毫秒; 女士

2246 multi-address  多地址

2247 multilevel  多级

2248 multimedia  n.多媒体

2249 multimedia PC  多媒体PC

2250 multi-platform  多平台

2251 multiple  a. 多样的,多重的; n. 倍数

2253 multiplexer  多路器

2254 multiplexing  多路技术

2255 multiplexor  多路器

2256 multiplicand  被乘数

2257 multiplication  n. 乘法,增加,乘法表; [计算机] 乘法

2258 multiplicity  n. 多数,重复,多样

2259 multiplier  乘数

2260 multiprocessing  多重处理,多处理技术

2261 multiprocessor  多处理器

2262 multiprogramming  多道程序

2263 multitasking  多任务处理

2264 multithreading  多线程，多线索

2265 multi-user  多用户

2266 multi-user input  多用户输入

2267 multi-window  多窗口

2268 music chip  音乐芯片

2269 must  n. 必须,未发酵葡萄汁,绝对必要的事物; conj. 必须

2270 mutex  互斥(体)

2271 mystify  v. 神秘化,使难解,迷惑

2272 n  纳

2273 name  n. 名字,名称,姓名; v. 命名,称呼,任命; [计算机] 名称

2274 name code  名字代码

2275 naming  命名

2276 nanosecond  纳秒

2277 narrative  n. 叙述,故事; a. 叙述的,叙事的,故事体的

2278 native  a. 本国的,本土的; n. 本地人

2279 nature  n.自然,自然界,自然状态; 本性,天性,性质; 质; 性格; 性; 本质

2280 navigate  v. 航行,驾驶,操纵

2281 navigation  n. 航行,航海

2282 navigation key  定位键

2283 navigational  a. 导航的(航海的)

2284 necessary  a. 必需的,必要的; n. [pl.]必需品

2285 needle  n. 针; v. 用针缝

2286 negate  v. 否定,否认,打消

2287 negation gate  "非"门

2288 negative  a. 否定的,负的,消极的; n. 底片,负数; vt. 否定

2289 negotiation  n. 谈判,协商

2290 Neper   奈培

2291 nest  n. 巢,窝; v. 筑巢；嵌入

2292 nested  嵌套的

2293 network  n. 网络; vt. 联络,交流

2294 networking  n.一种互助性的网络体系，计算机网络的设计

2295 neural  a. 神经的

2296 neutral  a. 中立的,中性的; n. 中立者

2297 new  a. 新的; n. 新的东西

2298 newsgroup  新闻组

2299 next  a. 下一个的; ad. 其次; n. 下一个; prep. 靠近

2300 next page  下一页

2301 nickname  n. 绰号,昵称; v. 给...取绰号,叫错名字

2302 node  n. 节,结节,瘤; [计算机] 节点

2303 noise  n. 声音,响声,响声,喧哗声,噪声; v. 谣传

2304 nomenclature  n. 命名法,专门语,术语

2305 nominal  a. 名义上的,有名无实的

2306 non-breaking space  不间断空格

2307 noninteractive  不相关的，非交互的

2308 non-interlaced  逐行，非隔行

2309 non-linear  非线性的

2310 non-numeric  非数字的，非数值的

2311 non-reusable  不可重用的
2312 non-scrollable  不可滚动的

2313 nonsolid color  非纯色

2314 nonzero  非零

2315 normal  a. 正常的,正规的; n. 正常状态

2316 normalize  v. 使常态化,使合标准,使合规格

2317 notation  n. 记号法,表示法,注释; [计算机] 记法

2318 note  n. 笔记,注解,备忘录; v. 记录,注解,注意; n. 票据,便条,纸币

2319 note indicator  附注记号

2320 notebook  n. 笔记本

2321 notebook computer  笔记本型计算机

2322 notepad  记事本

2323 notify  v. 通知,通告,报告

2324 notion  n. 观念,想法,主张

2325 novice  n. 新手,初学者

2326 nucleus  n. 核,核心,原子核

2327 null  a. 无效力的,无效的,无价值的; n. 零; [计算机] 空

2328 Num Lock key  数字锁定键

2329 number  n. 号码,数字; v. 编号,加号码,总计; vi. 总计; vt. 编号

2330 numbering  编号

2331 numeral  n. 数字,数; a. 数字的,表示数字的

2332 numeration  记数,计算

2333 numeric  数字的

2334 numerical  a. 数字的,用数字表示的

2335 numerous  a. 为数众多的,许多

2336 object  n. 物,物体,目标,宾语; v. 反对

2337 obscure  a. 微暗的,难解的,不著名的; v. 使...阴暗,隐藏,使...含糊

2338 observation  n. 观察; vb.了解

2339 observer  n. 观察者

2340 obsolete  a. 已废弃的,过时的

2341 obstruction  n. 障碍,妨碍,闭塞

2342 occasionally  ad. 偶尔地

2343 occlude  v. 使闭塞,封闭,关闭,逐出

2344 occupation  a. 军事占领的,职业的; n. 职业

2345 occupied state  占用态

2346 occupy  v. 占领,占,住进

2347 occur  v. 发生; vi. 出现,存在,发生

2348 occurrence  n. 发生,事件,发现

2349 OCR  光字符阅读器，光字符识别

2350 octal  八进制的

2351 odd  a. 奇数的,古怪的,剩余的; . 奇数

2352 odd-even check  奇偶校验

2353 odometer  n. 里程表

2354 OEM  初始设备制造厂家

2355 oersted  奥斯特(磁场强度单位)

2356 off  a. 远的,休假的,空闲的; ad. 走开,出发,隔断; prep. 离开,脱落,在...之外

2357 off state  关闭状态

2358 offer  n. 出价,提议; v. 提供,出价,企图

2359 off-hook  摘机

2360 office  n. 办公室

2361 office automation  办公自动化

2362 office network  办公室网

2363 off-line  脱机

2364 offset  n. 抵销,支派,平版印刷; v. 弥补,抵销,用平版印刷; [计算机] 偏移

2365 ohm  n. 欧姆

2366 OK  a. 好,不错,可以; ad. 好,不错,可以

2367 OK button  OK按钮

2368 old password  原口令

2369 omission  n. 省略,遗漏,疏忽

2370 omit  v. 省略,疏忽,遗漏

2371 on the fly  在运行中

2372 one-address  单地址

2373 one-chip  单片的

2374 one-level  一级

2375 one-to-many  一对多

2376 one-to-one  一一对应

2377 one-way  adj.单程的；单行的

2378 on-hook  挂机

2379 online  n.联机，在线

2380 on-line  a.联机的，联线的

2381 only  a. 唯一的; ad. 只,仅仅; conj. 可是,不过

2382 on-screen  屏幕上的

2383 on-state  接通状态，开启状态

2384 opaque  a. 不透明的,难懂的

2385 open  n. 公开,户外,空旷; a. 开著的,开放的,公开的; v. 打开,公开,开放

2386 open architecture  开放式体系结构

2387 open file name  打开文件名

2388 open inbox  打开收件箱

2389 open system  开放系统

2390 opening file  打开文件

2391 operand  操作数

2392 operate  v. 操作,运转,动手术

2393 operating  操作的

2394 operating ambient  运行环境

2395 operating system  操作系统

2397 operating time  操作时间

2398 operation  n. 手术, 行动，活动, 操作

2399 operational  a. 操作的,运作的

2400 operator  n. 操作员,话务员,报务员

2401 opposite  a. 相对的,相反的,对面的; prep. 对面

2402 optical  a. 眼睛的,视觉的,光学的

2403 optimization  优化; n. 最佳化

2404 optimize  v. 使...完美,乐观,使...完善; v.优化

2405 optimum  n. 最适宜; a. 最适宜的

2406 option  n. 选择

2407 optional  a. 可以任选的,非强制的

2408 Orange Book  橙皮书

2409 order  n.订单,命令; n. 顺序,整齐,勋章,阶级,决议; vt.命令,调整,定购

2410 ordering  定购,命令,次序

2411 ordinal  n. 序数; a. 顺序的; [计算机] 序号

2412 organization  n. 机构,组织
2413 organize  vi. 组织起来; vt. 组织

2414 orient  a. [诗]东方的; n. 东方,亚洲

2415 orientation  n. 定位,适应,情况介绍; [计算机] 定向

2416 oriented  导向的,定向的

2417 origin  n. 起源,出身,开端

2418 original  a. 最初的,原始的,有独创性的,原版的; n. 起源,原件,原稿

2419 originally  ad. 本来,原来,最初; 重要的

2420 os  操作系统

2421 oscillometer  示波计

2422 oscilloscope  示波器

2423 other  a. 别的,其他的; pron. 另一个人(或事)

2424 otherwise  ad. 否则,要不然,不同地,别的方式

2425 outbox  待发箱

2426 outcome  n. 结果

2427 outconnector  外接器

2428 out-gate  输出门

2429 outgoing  n. 外出,开支,流出; a. 喜欢外出的; [计算机] 输出

2430 outlet   n. 出口,出路,通风口,批发商店

2431 outline  n. 大纲,轮廓,概要; v. 描画轮廓,描述要点

2432 outline font  轮廓字体

2433 output  n. 产量,输出,输出功率; vt. 输出(信息等)

2434 outside  ad. 在外面; n.&a. 外部; prep. 在...外; pron. 在...外边

2435 overall  a. 全部的,全体的,一切在内的; ad. 总的来说,全部地

2436 overdue  a. 过期的,未兑的,迟到的

2437 overflow  n. 溢值,超值,泛滥; v. 泛滥,溢出,充溢; [计算机] 溢出

2438 overhead  n. 经常开支,普通用费; a. 在头上的,高架的; ad. 在头顶上,在空中,在高处; [计算机] 总开销

2439 overheat  v. 使过热,过热

2440 overlap  n. 重叠,重复; v. 重叠,重复; [计算机] 重叠

2441 overlay  覆盖

2442 overload  vt. 使超载

2443 override  v. 弃绝,渺视; [计算机] 废除

2444 overrun  v. 蔓延,泛滥; vt. 否决,驳回

2445 overstriking  (字体)加粗

2446 overtime  n. 加班时间(加班加点费); ad. 在规定时间之外(超出时间地)

2447 overview  n. 概观; [计算机] 概貌

2448 overwrite  重写

2449 owner  n. 所有人,物主

2450 ownership  n. 所有权

2451 pacing  基本的；步测

2452 pack  n. 包裹,一群,一副; v. 包装,捆扎,塞满

2453 package  n. 包裹,套装软件,包; v. 包装

2454 packet  n. 储存器,讯息封,小包; v. 打包,装进小包

2455 packing  n. 包装

2456 pad  n. 填补,衬垫,印色盒,信笺簿; v. 填补,徒步,夸大

2457 pad character  填充字符

2458 padding  n. 垫充,垫塞,填料

2459 paddle  n. 桨,划桨,明轮翼; v. 划桨,戏水,抚弄

2460 page  n. 页; v. (给...)当听差; vt. (通过扩音器、传呼机等)呼叫

2461 pagination  分页,标记页数

2462 paging  内存分页,页面调度

2463 paint  n. 油漆,颜料,绘画作品; v. 油漆,绘画

2464 paintbrush  画笔

2465 pair  n. 双,对,副; v. 使...成对

2466 palette  n. 调色板,颜料

2467 pan  n. 平底锅; v. 严厉批评

2468 pane  n. 窗玻璃,方框,方格; v. 嵌窗玻璃

2469 panel  n. 面板,嵌板,仪表盘,座谈小组; v. 嵌镶; 专门问题小组

2470 panic dump  应急转储

2471 paper  n. 纸,文件,论文,报纸; v. 用纸糊,贴壁纸; adj.纸制的

2472 paper jam  卡纸

2473 paper size  纸张大小

2474 paragraph  n. 段落; vt. 将...分段

2475 parallel  a. 平行的; ad. 平行地; n. 平行线; vt. 与...平行

2476 parent  n. 父母,父母亲,根源

2477 parent directory  父目录

2478 parentheses  圆括号

2479 parenthesis  n. 括弧,插入语,附带

2480 parity  n. 同等,同格,同位

2481 parse  v.&n. 从语法上分析

2482 parser  语法分析器

2483 part  n. 部份,零件,角色; v. 分开,分离,分配; ad. 部份地,有几分

2484 partial  a. 部分的,偏袒的,偏爱的

2485 participant  a. 参与的; n. 参加者,参与者

2486 particular  n. 个别项目,详细说明; a. 特别的,独有的,挑剔的

2487 particularly  ad. 特别,尤其

2488 partition  n. 分割,隔离物,隔墙; v. 区分,隔开,分割

2489 partner  n. 合作者,搭档; v. 同...合作,做...的搭档

2490 pass  n. 途径,通行,及格; v. 经过,消逝,传递

2491 passage  n. 通道,走廊,一段文章

2492 password  n. 口令

2493 paste  n. 糊,浆糊; v. 粘,贴

2494 paste from  从…粘贴

2495 patch  n. 片,补绽,碎片; v. 补缀,掩饰,平息

2496 patent   n. 专利权,执照,专利品; a. 专利的,显著的,新奇的; v. 取得...的专利权,请准专利

2497 path  n. 路线,轨道,路程,小路,小径

2498 pattern  n. 图案,式样,典范; v. 仿造,模仿

2499 pause  暂停,中止

2500 Pause key  暂停键

2501 PC  (personal computer)个人计算机

2502 PC-compatible  PC兼容机

2503 PDA  个人数字助理

2504 peer  n. 同侪,匹敌,贵族; v. 凝视,窥视

2505 pels  像素，图元

2506 penalty  n. 处罚,惩罚

2507 pending  a. 未决定的,待决的; prep. 直到,当...的时候,在...期间

2508 percent  a. 百分之一,(与基数词连用)百分之...的; n. 百分之...

2509 percentage  n. 百分率

2510 perforate  v. 穿孔于,刺穿

2511 perforator  穿孔机

2512 perform  v. 执行,表演,做
2513 performability  可执行性

2514 performance  n. 表演,表现; n. 性能

2515 period  n. 学时,课时,一段时间,时期,周期,句点

2516 periodic table  (元素)周期表

2517 periodicity  n. 定期性,周期性,周期数

2518 peripheral  a. 不重要的,外围的

2519 permanence  n. 永久,持久

2520 permanent  a. 永久的,持久的

2521 permanent swap file  永久交换文件

2522 permanently  ad. 永久地，持久地

2523 permission  n. 同意,许可,允许

2524 permit  n. 许可证,执照; v. 允许,许可

2525 permutation  n. 交换,排列

2526 person  n. 人

2527 personal  a. 私人的,个人的; n. 私人信息启示

2528 personalize  个人化

2529 personnel  n. 人员,职员; a. 个人的,人事的

2530 perspective  n. 远景,看法,透视; a. 透视的

2531 pertain  v. 属于,关于

2532 phase  n. 相, 相位,时期,局面,阶段; v. 逐步执行,实行,按计划进行

2533 phenomenon  n. 现象

2534 phone  n. 电话; v. 打电话

2535 phoneme  音位

2536 phosphor  磷光体

2537 photocell  光电池

2538 phrase  n. 短语,习语; vt. 表达,叙述

2539 physical  a. 身体的,物理的,物质的; n. 体检

2540 physical address  物理地址

2541 physically  ad. 身体上地

2542 pic  (Picture)图像压缩

2543 pick  n. 精选,鹤嘴锄; v. 摘,挑选,挑惕,剔除;; 挑衅 pick a fight 向人挑战

2544 picking  采集

2545 pickup  n. 拾(拾音器,传感器); a. 现成的(挑选的)

2546 pickup reel  拾带盘

2547 picosecond  皮秒

2548 picture  n. 图画,照片,景色; v. 画,描写,想像

2549 pilot  n. 飞行员,领航员,引航员; v. 领航,驾驶,向导

2550 pin  n. 大头针,针,拴; v. 将...用针别住,钉住,压住; n 鸦雀无声,出奇的静

2551 pipe  n. 管,烟斗,笛; v. 以管输送,吹哨子,吹笛; 尖声说话 pipe up

2552 pipeline  n. 管道,管线

2553 pipelining  流水线

2554 piping  管道

2555 piracy  n. 海盗行为,剽窃,著作权侵害

2556 pirate software  盗版软件

2557 pitch  n. 程度,投掷,音高; v. 投,向前倾跌,扎牢,定调,用沥青覆盖

2558 PivotTable  数据透视表

2559 pix  图像

2560 pixel  像素

2561 pixmap  象图映射

2562 place  n. 地方,处境,职务; v. 放置,任命,安排

2563 placeholder  位置标志符,占位符

2564 placement  n. 方位(位置,堆放)

2565 plain  n. 平原,草原; a. 简单的,平坦的,平常的,家常的; a.纯的，不掺杂的

2566 plan  n. 计划,策略,方法; v. 计划,设计,意欲

2567 plane  a. 平的; n. 飞机,平面,刨子; v. 刨

2568 plane graph  平面图

2569 planes  位面

2570 planner  n. 计划者

2571 planning  n. 计划(分配); v. 计划(分配)

2572 plant  n. 植物; v. 种植; n. 工厂

2573 platen  压纸卷筒,压盘,滚筒

2574 platform  n. 平台,月台,讲台,坛

2575 play  n. 游戏,游玩,剧本,比赛; v. 玩,进行比赛,演奏,播放

2576 player  n. 比赛者,运动员

2577 plot  n. 图,阴谋,情节; v. 绘图,密谋,计划

2578 plotter  n. 阴谋者,计划者

2579 plug  n. 塞子,消防拴,电插头; v. 插入,塞住,接插头

2580 plug and play  即插即用

2581 plug in  插上插头

2582 pocket  n. 口袋,钱,袋; v. 装...在口袋里,隐藏,私吞

2583 point  n. 点,要点,尖端; v. 指出,指,描准

2584 point size  磅

2585 pointer  n. 指示的人,教鞭,暗示

2586 pointer type  指针类型

2587 pointing  指点,指示

2588 points  磅

2589 poll  n. 投票,民意测验,选举人民意; v. 轮询,获得...票,剪树枝

2590 polling  n. 投票

2591 polygon  多边形

2592 polymorphism  多形性

2593 polynomial  多项式

2594 pool  n. 池,水塘,撞球

2595 pop  n. 取出,砰然声,流行乐曲; a. 流行的,热门的,通俗的; v. 取出,发出爆裂声,突然伸出

2596 pop-down  弹下

2597 pop-down menu  弹下式菜单

2598 pop-up  弹出式

2599 pop-up menu  弹出式菜单

2600 pop-up window  弹出式窗口

2601 portability  可移植性,可携带,轻便

2602 portable  a. 轻便的,手提式的; n. 手提打字机

2603 portfolio  n. 文件夹,证券投资组合

2604 portion  n. 部分,份,命运; v. 将...分配,分配

2605 portrait  n. 肖像,画像

2606 position  n. 位置,职位,状态; v. 安置,决定...的位置

2607 positive  a. 肯定的,积极的,绝对的; a. 正面的,正数的,阳性的

2608 possibility  n. 可能性

2609 possible  a. 可能的

2610 possibly  ad. 可能地,也许

2611 post  n. 邮件,标竿,职位; v. 邮递,公布,布置

2612 post production  后期制作
2613 postamble  后同步信号

2614 postfix  后缀

2615 post-office  n.邮局

2616 postpone  v. 延期; vt. 推迟,延期

2617 potentially  ad. 潜在地

2618 power  n. 力量,势力,动力; v. 使...有力量,供以动力,激励

2619 power user  高级用户

2620 powerful  a. 强有力的

2621 ppm  每分钟页数，百万分之…

2622 practice  n. 练习,实行,习惯; v. 练习,实习,开业

2623 pragmatics  语用学,语用论

2624 preamble  n. 前文,序文,前言

2625 pre-amplifier  前置放大器

2626 prebuilt  预建的

2627 precede  v. 在...之前,优于,较...优先

2628 precedence  n. 优先,居先

2629 precedents  引用单元格

2630 preceding  a. 在前的,在先的

2631 precision  a. 精确的; n. 精确,精密度

2632 precondition  v. 事先具备条件,事先训练; n. 先决条件

2633 predicate  n. 述语; a. 述语的; v. 断定为,意味

2634 predict  v. 预知,预言,预报

2635 preemption  n. 先买

2636 preface  n. 序文,绪言,前言; v. 作序,写前言,以...开始

